"File","Language","Participant","Item_type","Item_num","Focus","TP","Word","Syll","Syll_num","Prosodic_Prom","min_time","max_time","F0_mean","F0_min","F0_max","F0_range","env_mean","env_min","env_max","env_range","duration","Gender","Age"
"C15_T_19_R","Catalan",15,"target",19,"corrective","La de color groc","NC","lo_pre",1,"2",1557.99999999999,1698.99999999996,160.519721984863,154.722259521484,166.746490478516,12.024230957032,0.236335708726152,0.140283302406063,0.277070184462693,0.13678688205663,140.99999999997,"female",19
"C15_T_19_R","Catalan",15,"target",19,"corrective","La de color groc","A","groc",2,"3",1698.99999999996,1981.99999999997,152.350405485734,131.586074829102,168.064483642578,36.478408813476,0.148185110061179,0.0331496499337749,0.251062867231342,0.217913217297567,283.00000000001,"female",19
"C15_T_20_F","Catalan",15,"target",20,"filler","La cadira de color negre","N","pre",1,NA,1972.00000000004,2069.00000000002,187.969413757324,183.51301574707,192.425811767578,8.91279602050801,0.193610533668317,0.167427741651115,0.228175995882813,0.060748254231698,96.99999999998,"female",19
"C15_T_20_F","Catalan",15,"target",20,"filler","La cadira de color negre","N","di",2,"2",2069.00000000002,2175.00000000001,176.924458312988,166.516677856445,183.157318115234,16.640640258789,0.258800181559968,0.242792956065547,0.266021761317308,0.023228805251761,105.99999999999,"female",19
"C15_T_20_F","Catalan",15,"target",20,"filler","La cadira de color negre","N","post",3,NA,2175.00000000001,2292.00000000003,193.580486297608,181.927291870117,211.503112792969,29.575820922852,0.261156722488002,0.253848298915922,0.270778474904448,0.016930175988526,117.00000000002,"female",19
"C15_T_20_F","Catalan",15,"target",20,"filler","La cadira de color negre","NC","lo_pre",5,"2",2502.00000000001,2617.99999999999,168.983312433416,165.124603271484,176.328384399414,11.20378112793,0.189724777156024,0.117233636159657,0.226883017788348,0.109649381628691,115.99999999998,"female",19
"C15_T_20_F","Catalan",15,"target",20,"filler","La cadira de color negre","A","ne",6,"2",2617.99999999999,2770.00000000004,164.816171264648,153.250289916992,170.536987304688,17.286697387696,0.166300174643295,0.138087277299284,0.214623099737755,0.076535822438471,152.00000000005,"female",19
"C15_T_20_F","Catalan",15,"target",20,"filler","La cadira de color negre","A","post",7,NA,2770.00000000004,3016.00000000002,151.132711181641,141.064102172852,156.877059936523,15.812957763671,0.0974056562049967,0.0556204025079514,0.1333276086497,0.0777072061417486,245.99999999998,"female",19
"C15_T_21_C","Catalan",15,"target",21,"contrastive","L'escombra de color lila","N","pre",1,NA,1827.99999999997,2077.99999999997,209.407154756434,188.252456665039,222.861572265625,34.609115600586,0.218511812114107,0.0658893698360977,0.311155753194843,0.245266383358745,250,"female",19
"C15_T_21_C","Catalan",15,"target",21,"contrastive","L'escombra de color lila","N","com",2,"2",2077.99999999997,2218.00000000002,195.22678120931,190.97509765625,198.50520324707,7.53010559082,0.131296455985193,0.0622529317506077,0.213091687364296,0.150838755613688,140.00000000005,"female",19
