File,Language,Participant,Item_type,Item_num,Focus,TP,Word,Syll,Syll_num,Prosodic_Prom,min_time,max_time,F0_mean,F0_min,F0_max,F0_range,env_mean,env_min,env_max,env_range,duration,Gender,Age,tier_num,tier_name,tier_type,tier_xmin,tier_xmax,xmin,xmax,text
C05_T_21_C,Catalan,5,target,21,contrastive,La escombra de color lila,NA,<p>,4,NA,3202.99999999997,3488.99999999992,NA,NA,NA,NA,0.0195482296431365,0.0131975613292325,0.0417434636560275,0.028545902326795,285.99999999995,male,29,8,Syll,IntervalTier,0,5.2829999999999,3202.99999999997,3488.99999999992,<p>
C05_T_21_C,Catalan,5,target,21,contrastive,La escombra de color lila,NA,<p>,7,NA,4645.99999999996,4851.99999999998,NA,NA,NA,NA,0.02644642816963416,0.0160454778829605,0.0555888463049317,0.0395433684219712,206.00000000002,male,29,8,Syll,IntervalTier,0,5.2829999999999,4645.99999999996,4851.99999999998,<p>
C05_T_21_C,Catalan,5,target,21,contrastive,La escombra de color lila,A,post,9,NA,5072.99999999998,5242.99999999994,NA,NA,NA,NA,0.1724539609529554,0.0706655216798325,0.231977226472365,0.16131170479253248,169.99999999995998,male,29,8,Syll,IntervalTier,0,5.2829999999999,5072.99999999998,5242.99999999994,post
C05_T_23_I,Catalan,5,target,23,information,El micròfon de color lila,NA,<p>,4,NA,2810.00000000006,3062.99999999999,NA,NA,NA,NA,0.01713079721021371,0.0124606981128057,0.0350352192601635,0.0225745211473578,252.99999999992997,male,29,8,Syll,IntervalTier,0,4.88900000000001,2810.00000000006,3062.99999999999,<p>
C05_T_23_I,Catalan,5,target,23,information,El micròfon de color lila,NA,<p>,7,NA,4153.00000000002,4533.00000000002,NA,NA,NA,NA,0.01874579586680749,0.011892370091808,0.0386277354728085,0.0267353653810005,380,male,29,8,Syll,IntervalTier,0,4.88900000000001,4153.00000000002,4533.00000000002,<p>
C05_T_24_F,Catalan,5,target,24,filler,L'ampolla de color groc,N,pre,1,NA,1807.99999999999,2080.00000000004,NA,NA,NA,NA,0.12898848701848434,0.0847972291773293,0.162836846050529,0.0780396168731997,272.00000000005,male,29,8,Syll,IntervalTier,0,4.66499999999996,1807.99999999999,2080.00000000004,pre
C05_T_24_F,Catalan,5,target,24,filler,L'ampolla de color groc,NA,<p>,4,NA,2528.00000000002,2783.00000000002,NA,NA,NA,NA,0.02049198278626119,0.0105637117517114,0.0418202191520552,0.0312565074003438,255,male,29,8,Syll,IntervalTier,0,4.66499999999996,2528.00000000002,2783.00000000002,<p>
C05_T_24_F,Catalan,5,target,24,filler,L'ampolla de color groc,NA,<p>,7,NA,3631.99999999995,3995,NA,NA,NA,NA,0.02338606923451487,0.0127103986815678,0.0685914490939024,0.0558810504123346,363.00000000005,male,29,8,Syll,IntervalTier,0,4.66499999999996,3631.99999999995,3995,<p>
C05_T_25_C,Catalan,5,target,25,contrastive,La motxilla de color lila,NA,<p>,4,NA,2586.99999999999,2847.99999999996,NA,NA,NA,NA,0.01952460774478708,0.0133390225065907,0.0327399780578615,0.0194009555512708,260.99999999997,male,29,8,Syll,IntervalTier,0,4.52999999999997,2586.99999999999,2847.99999999996,<p>
C05_T_25_C,Catalan,5,target,25,contrastive,La motxilla de color lila,NC,lor_pre,6,1,3751.99999999995,3931.00000000004,NA,NA,NA,NA,0.201384466085162,0.151578939572442,0.225263358704119,0.073684419131677,179.00000000009004,male,29,8,Syll,IntervalTier,0,4.52999999999997,3751.99999999995,3931.00000000004,lor_pre
C05_T_27_I,Catalan,5,target,27,information,La manta de color taronja,NA,pre,1,NA,1836.00000000001,1985.00000000001,NA,NA,NA,NA,0.1462853012696,0.110726717153891,0.171744660340668,0.06101794318677699,149,male,29,8,Syll,IntervalTier,0,4.67000000000007,1836.00000000001,1985.00000000001,pre
C05_T_27_I,Catalan,5,target,27,information,La manta de color taronja,N,post,3,NA,2327.99999999997,2558.99999999997,NA,NA,NA,NA,0.0912830430485194,0.0565462913745354,0.128977254478949,0.0724309631044136,231,male,29,8,Syll,IntervalTier,0,4.67000000000007,2327.99999999997,2558.99999999997,post
C05_T_27_I,Catalan,5,target,27,information,La manta de color taronja,NA,<p>,4,NA,2558.99999999997,2821.00000000003,NA,NA,NA,NA,0.02283165263180418,0.0131267276306215,0.0523666659739935,0.039239938343372,262.00000000006,male,29,8,Syll,IntervalTier,0,4.67000000000007,2558.99999999997,2821.00000000003,<p>
C05_T_27_I,Catalan,5,target,27,information,La manta de color taronja,NA,<p>,7,NA,3397.00000000005,3625.99999999998,NA,NA,NA,NA,0.03028309891411558,0.0131281995737288,0.0733135145657172,0.0601853149919884,228.99999999992997,male,29,8,Syll,IntervalTier,0,4.67000000000007,3397.00000000005,3625.99999999998,<p>
C05_T_27_I,Catalan,5,target,27,information,La manta de color taronja,A,pre,9,NA,3858.00000000006,3963.00000000008,NA,NA,NA,NA,0.1005743084553309,0.0312757258711091,0.176844395175917,0.14556866930480789,105.00000000002001,male,29,8,Syll,IntervalTier,0,4.67000000000007,3858.00000000006,3963.00000000008,pre
C05_T_28_F,Catalan,5,target,28,filler,La bicicleta de color groc,N,cle,2,1,2663.00000000001,2937.00000000001,NA,NA,NA,NA,0.11590141329779856,0.0323534017979304,0.211775485594718,0.17942208379678762,274,male,29,8,Syll,IntervalTier,0,4.73200000000008,2663.00000000001,2937.00000000001,cle
